fam-index,genus-index,genus-name
148,13,cnicus
148,14,carthamus l.
148,15,scolymus l.
148,16,cichorium l.
148,17,catananche l.
148,18,arnoseris
148,19,lapsana l.
148,20,hedypnois
148,21,rhagadiolus
148,22,hypochaeris l.
148,23,scorzoneroides
148,24,leontodon l.
148,25,picris l.
148,26,helminthotheca zinn
148,27,scorzonera l.
148,28,tragopogon l.
148,29,aetheorhiza
148,30,sonchus l.
148,31,lactuca l.
148,32,cicerbita
148,33,mycelis
148,34,taraxacum history
148,35,crepis l.
148,36,tolpis
148,37,andryala l.
148,38,pilosella
148,39,hieracium l.
148,40,arctotis l.
148,41,arctotheca
148,42,gazania
148,43,berkheya
148,44,filago l.
148,45,antennaria
148,46,anaphalis dc.
148,47,gnaphalium l.
148,48,helichrysum h.
148,49,cassinia
148,50,inula l.
148,51,dittrichia
148,52,pulicaria
148,53,buphthalmum l.
148,54,telekia
148,55,grindelia
148,56,calotis c.
148,57,solidago l.
148,58,aster l.
148,59,chrysocoma l.
148,60,erigeron l.
148,61,conyza c.
148,62,callistephus
148,63,olearia
148,64,baccharis l.
148,65,bellis l.
148,66,tanacetum l.
148,67,artemisia l.
148,68,santolina l.
148,69,otanthus
148,70,achillea l.
148,71,chamaemelum
148,72,anthemis l.
148,73,xanthophthalmum
148,74,leucanthemella
148,75,coleostephus
148,76,leucanthemum superbum
148,77,chrysanthemum
148,78,oncosiphon oncosiphon
148,79,matricaria l.
148,80,tripleurospermum
148,81,cotula
148,82,senecio l.
148,83,pericallis
148,84,tephroseris
148,85,delairea
148,86,brachyglottis jubar
148,87,sincalia
148,88,ligularia
148,89,doronicum l.
148,90,tussilago l.
148,91,petasites
148,92,homogyne
148,93,calendula l.
148,94,ambrosia l.
148,95,iva
148,96,xanthium l.
148,97,guizotia
148,98,sigesbeckia l.
148,99,rudbeckia l.
148,100,helianthus l.
148,101,heliopsis
148,102,galinsoga
148,103,bidens l.
148,104,coreopsis l.
148,105,cosmos
148,106,dahlia
148,107,tagetes l.
148,108,schkuhria
148,109,gaillardia
148,110,helenium l.
148,111,eupatorium l.
148,112,ageratum l.
149,1,butomus
150,1,sagittaria
150,2,luronium
150,3,baldellia
150,4,alisma
150,5,damasonium
151,1,hydrocharis
151,2,stratiotes
151,3,egeria
151,4,elodea
151,5,hydrilla
151,6,lagarosiphon
151,7,vallisneria
152,1,aponogeton
153,1,scheuchzeria
154,1,triglochin
155,1,potamogeton
155,2,groenlandia
156,1,ruppia
157,1,najas
158,1,zannichellia
159,1,zostera
160,1,phoenix
160,2,trachycarpus
161,1,acorus
161,2,lysichiton
161,3,calla
161,4,zantedeschia
161,5,arum
161,6,dracunculus
161,7,arisarum
162,1,wolffia
162,2,lemna
162,3,spirodela
163,1,tradescantia
164,1,eriocaulon
165,1,juncus
165,2,luzula
166,1,eriophorum
166,2,trichophorum
166,3,eleocharis
166,4,bolboschoenus
166,5,scirpus
166,6,scirpoides
166,7,schoenoplectus
166,8,isolepis
166,9,eleogiton
166,10,blysmus
166,11,cyperus
166,12,schoenus
166,13,rhynchospora
166,14,cladium
166,15,kobresia
166,16,carex
167,1,yushania
167,2,fargesia
167,3,pleioblastus
167,4,sasa
167,5,sasaella
167,6,psuedosasa
167,7,chimonobambusa
167,8,leersia
167,9,ehrharta
167,10,nardus
167,11,stipa
167,12,oryzopsis
167,13,milium
167,14,festuca
167,15,lolium
167,16,vulpia
167,17,cynosurus
167,18,lamarckia
167,19,puccinellia
167,20,briza
167,21,poa
167,22,dactylis
167,23,catabrosa
167,24,catapodium
167,25,sesleria
167,26,parapholis
167,27,hainardia
167,28,glyceria
167,29,melica
167,30,helictotrichon
167,31,arrhenatherum
167,32,avena
167,33,gaudinia
167,34,trisetum
167,35,koeleria
167,36,rostraria
167,37,deschampsia
167,38,holcus
167,39,corynephorus
167,40,aira
167,41,hierochloe
167,42,anthoxanthemum
167,43,phalaris
167,44,agrostis
167,45,calamagrostis
167,46,ammophila
167,47,gastridium
167,48,lagurus
167,49,apera
167,50,milbora
167,51,polypogon
167,52,alopecurus
167,53,beckmannia
167,54,phleum
167,55,bromus
167,56,bromopsis
167,57,anisanthna
167,58,ceratochloa
167,59,brachypodium
167,60,elymus
167,61,elytrigia
167,62,leymus
167,63,hordelymus
167,64,hordeum
167,65,secale
167,66,triticum
167,67,danthonia
167,68,rytidosperma
167,69,schismus
167,70,cortaderia
167,71,molinia
167,72,phragmites
167,73,leptochloa
167,74,eragrostis
167,75,eleusine
167,76,dactyloctenium
167,77,sporobolus
167,78,chloris
167,79,cynodon
167,80,spartina
167,81,tragus
167,82,panicum
167,83,echinochloa
167,84,brachinaria
167,85,urochloa
167,86,eriochloa
167,87,paspalum
167,88,setaria
167,89,digitaria
167,90,cenchrus
167,91,sorghum
167,92,zea
168,1,sparganium
169,1,typha
170,1,fascicularia
170,2,ochagavia
171,1,pontederia
172,1,tofieldia
172,2,narthecium
172,3,asphodelus
172,4,veratrum
172,5,simethis
172,6,hemerocallis
172,7,kniphofia
172,8,colchicum
172,9,lloydia
172,10,gagea
172,11,erythronium
172,12,tulipa
172,13,fritillaria
172,14,lilium
172,15,convallaria
172,16,maianthemum
172,17,polygonatum
172,18,reineckea
172,19,paris
172,20,ornithogalum
172,21,scilla
172,22,hyacinthoides
172,23,hyacinthus
172,24,chionodoxa
172,25,muscari
172,26,allium
172,27,nectaroscordum
172,28,nothoscordum
172,29,agapanthus
172,30,tristagma
172,31,amaryllis
172,32,sternbergia
172,33,leucojum
172,34,galanthus
172,35,narcissus
172,36,asparagus
172,37,ruscus
172,38,alstroemeria
173,1,libertia
173,2,homeria
173,3,sisyrinchium
173,4,aristea
173,5,hermodactylus
173,6,iris
173,7,watsonia
173,8,romulea
173,9,crocus
173,10,gladiolus
173,11,ixia
173,12,sparaxis
173,13,freesia
173,14,crocosmia
173,15,chasmanthe
174,1,yucca
174,2,agave
174,3,cordyline
174,4,phormium
175,1,tamus
176,1,cypripedium
176,2,cephalanthera
176,3,epipactis
176,4,epipogium
176,5,neottia
176,6,listera
176,7,spiranthes
176,8,goodyera
176,9,liparis
176,10,hammarbya
176,11,corallorrhiza
176,12,herminium
176,13,plantanthera
176,14,anacamptis
176,15,psuedorchis
176,16,gymnadenia
176,17,coeloglossum
176,18,dactylorchiza
176,19,neotinea
176,20,orchis
176,21,aceras
176,22,himantoglossum
176,23,ophrys
